Zambo Anguissa,5.83,3,14
Freuler,0.00,0,7
De Roon,5.67,3,11
Payero,0.00,0,5
Reijnders,6.83,3,13
Sulemana I.,5.50,3,3
Kamada,7.00,3,15
Defrel,6.00,1,9
Grassi,5.50,2,5
Radonjic,7.33,3,12
Vivaldo,0.00,0,1
Kostic,6.50,1,14
Seck,5.50,1,3
Saelemaekers,0.00,0,4
Arthur Melo,6.50,3,8
Pellegrini Lo.,5.50,2,15
Prati,0.00,0,1
Kvaratskhelia,6.75,2,30
Djuric,6.17,3,10
Camara E.,0.00,0,2
Zirkzee,7.83,3,13
Coulibaly L.,6.00,3,8
Sanchez,0.00,0,14
Destro,5.50,1,2
Success,5.83,3,7
Almqvist,7.17,3,11
Samardzic,7.33,3,17
Toure' E.,0.00,0,15
Mota,5.50,3,10
Van Hooijdonk,0.00,0,2
Pobega,6.00,2,6
Felipe Anderson,6.50,3,22
Zielinski,7.50,3,21
Cancellieri,5.50,3,5
Retegui,6.83,3,23
Corfitzen,0.00,0,1
Bidaoui,0.00,0,1
Shomurodov,5.50,2,12
Mazzitelli,5.67,3,5
Kutlu,5.50,1,4
Yildiz,0.00,0,1
Strootman,5.50,2,6
Mckennie,6.00,2,8
Dia,8.00,2,26
Lookman,5.25,2,24
Chiesa,8.50,3,19
Karlsson,6.00,2,11
Barrow,0.00,0,13
Immobile,6.67,3,31
Yalcin,0.00,0,1
Caprari,6.00,3,14
Giroud,11.67,3,28
Jovane,5.75,2,5
Serdar,5.75,2,5
Okafor,5.83,3,16
Martegani,6.00,2,5
Kaio Jorge,0.00,0,1
Kouame',5.50,1,8
Henry,0.00,0,11
Luis Alberto,7.83,3,22
Cambiaghi,6.00,2,12
Rafael Leao,8.33,3,32
Zerbin,0.00,0,1
Nzola,5.67,3,22
Vlahovic,7.50,3,28
Shpendi S.,5.75,2,2
Gonzalez N.,8.50,3,17
Raspadori,4.67,3,9
Lukaku,5.50,1,30
Ricci S.,5.83,3,13
Rabiot,7.00,3,22
Cuni,6.00,1,4
Maric,6.00,2,2
Pedro,5.75,2,11
Mulattieri,6.00,2,11
Cheddira,5.50,2,10
Volpato,0.00,0,2
Zalewski,5.67,3,8
Thuram,8.83,3,25
Suslov,0.00,0,3
Soule',6.00,1,4
Alvarez A.,0.00,0,4
Valencia D.,0.00,0,1
Ngonge,8.33,3,14
Thauvin,5.83,3,11
Osimhen,9.83,3,44
